Date,Open,High,Low,Close,VWAP
2020-01-02,324.98,326.32,323.95,326.32,325.0371
2020-01-03,322.53,325.06,322.511,323.81,324.1362
2020-01-06,321.89,325.14,321.78,325.09,323.7983
2020-01-07,324.46,324.97,323.65,324.2,324.27
2020-01-08,324.38,327.21,324.11,325.85,325.8162
2020-01-09,327.59,328.17,326.94,328.05,327.7002
2020-01-10,328.7339,328.8956,326.6214,327.14,327.9227
2020-01-13,327.87,329.43,327.36,329.43,328.6679
2020-01-14,328.9,330.0669,328.11,328.92,329.1157
2020-01-15,328.81,330.49,328.71,329.66,329.705
2020-01-16,331.17,332.4,330.92,332.4,331.9132
2020-01-17,333.2,333.65,332.54,333.5,333.2673
2020-01-21,332.38,333.65,332.313,332.78,332.882
2020-01-22,333.75,334.44,332.68,332.85,333.597
2020-01-23,332.1,333.41,330.875,333.26,332.3351
2020-01-24,333.91,334.005,328.838,330.23,331.0401
2020-01-27,324.45,326.56,324.09,324.87,325.5283
2020-01-28,326.53,329.3,326.0,328.33,328.3694
2020-01-29,329.87,330.08,327.9179,328.1,329.0381
2020-01-30,325.82,329.36,324.96,329.09,326.9538
2020-01-31,328.45,328.618,322.18,323.24,324.3265
2020-02-03,324.81,327.6193,324.73,325.56,326.1432
2020-02-04,329.56,331.49,329.22,330.61,330.6124
2020-02-05,333.78,334.58,332.198,334.29,333.5166
2020-02-06,335.57,335.68,334.29,335.57,335.2231
2020-02-07,334.33,335.13,333.121,333.75,334.1295
2020-02-10,332.71,336.24,332.71,336.22,334.9787
2020-02-11,337.71,338.54,336.2593,336.84,337.3353
2020-02-12,338.39,339.19,337.98,339.0,338.6589
2020-02-13,337.46,339.68,337.1,338.58,338.6314
2020-02-14,339.0,339.26,337.745,339.07,338.8458
2020-02-18,338.05,338.7,336.75,338.26,337.9786
2020-02-19,339.33,340.6312,339.02,339.88,340.0222
2020-02-20,339.33,340.199,335.23,338.49,337.9592
2020-02-21,337.0,337.32,334.1,335.01,335.2059
2020-02-24,324.61,327.28,322.7,323.83,325.021
2020-02-25,325.38,326.06,313.0822,314.12,317.8839
2020-02-26,315.53,319.5,312.07,312.91,315.2678
2020-02-27,306.72,311.03,298.71,298.71,304.6635
2020-02-28,290.04,297.96,286.705,295.91,292.0982
2020-03-02,299.34,310.5,295.65,310.4,302.4009
2020-03-03,310.76,315.148,298.88,301.5,306.1634
2020-03-04,307.45,314.75,304.715,314.75,310.7725
2020-03-05,306.32,309.81,301.31,303.76,304.4872
2020-03-06,294.49,300.04,291.4226,298.7,295.7926
2020-03-09,277.2,285.2899,274.58,274.8,278.8224
2020-03-10,285.71,289.74,274.61,289.55,282.6373
2020-03-11,281.86,283.03,271.99,275.47,277.7759
2020-03-12,256.88,267.78,248.56,248.96,254.5873
2020-03-13,264.74,272.07,250.52,271.55,259.623
2020-03-16,242.47,257.82,235.0,240.12,246.6275
2020-03-17,245.8,257.0,237.82,255.39,250.0279
2020-03-18,237.22,246.89,228.78,241.17,237.0943
2020-03-19,239.32,248.25,232.94,242.06,242.6266
2020-03-20,244.85,246.702,230.7,231.16,238.1754
2020-03-23,230.23,231.46,220.2756,224.65,225.6263
2020-03-24,236.99,246.35,235.97,245.88,241.7007
